,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1923,O3b FM18,O3b FM18,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,[],MEO,Equatorial,0.0,7829.0,7839.0,0.000352013517319,0.04,281.02,700.0,,1500.0,2019-04-04 00:00:00,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2019-020D,44115,[],"['11_19', 'JMSatcat']",https://spaceflightnow.com/2019/04/04/soyuz-launch-deploys-last-of-o3bs-first-generation-broadband-satellites/  https://www.planet4589.org/space/log/satcat.txt
1924,O3b FM19,O3b FM19,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,[],MEO,Equatorial,0.0,7818.0,7839.0,0.0007395147374722,0.04,280.86,700.0,,1500.0,2019-04-04 00:00:00,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2019-020B,44113,[],"['11_19', 'JMSatcat']",https://spaceflightnow.com/2019/04/04/soyuz-launch-deploys-last-of-o3bs-first-generation-broadband-satellites/  https://www.planet4589.org/space/log/satcat.txt
1925,O3b FM20,O3b FM20,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,[],MEO,Equatorial,0.0,7809.0,7839.0,0.001056784556855,0.04,280.73,700.0,,1500.0,2019-04-04 00:00:00,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2019-020A,44112,[],"['11_19', 'JMSatcat']",https://spaceflightnow.com/2019/04/04/soyuz-launch-deploys-last-of-o3bs-first-generation-broadband-satellites/  https://www.planet4589.org/space/log/satcat.txt
1926,O3b PFM,O3b PFM,United Kingdom,United Kingdom,O3b Networks Ltd.,Commercial,Communications,[],MEO,Equatorial,0.0,8063.0,8069.0,0.0002078137988362,0.03,287.93,700.0,,1500.0,2013-06-25 00:00:00,,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,2013-031D,39191,First of a new constellation in MEO. Provide links between ground stations lying in the range ±45° latitude.,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2013  http://www.o3bnetworks.com/o3b-launch http://www.gmv.com/en/Company/Communication/News/2013/07/03b.html
1929,Odin ,Odin,Sweden,Sweden,Swedish National Space Board,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,569.0,573.0,0.0002881429188877,97.6,96.1,250.0,170.0,340.0,2001-02-20 00:00:00,2.0,"['Canadian Space Agency', ""Centre National d'Etudes Spatiales"", 'National Technology Agency of Finland', 'Swedish Space Corporation']","['Canada', 'Finland', 'France', 'Sweden']",Svobodny Cosmodrome,Start 1,2001-007A,26702,"['Originally two scientific disciplines on a single spacecraft in studies of star formation', 'early solar system (astronomy)  and of the mechanisms behind the depletion of the ozone layer in the earth atmosphere and the effects of global warming (aeronomy); astronomy mission has ended.']","['12', 'www.satellitedebris.net 12']",http://nssdc.gsfc.nasa.gov/spacewarn/spx568.html  http://www.space-technology.com/projects/odin/ http://www.snsb.se/eng_odin_intro.shtml http://perso.wanadoo.fr/eurospace/espdatabase/index.html http://eu.spaceref.com/news/viewpr.html?pid=27609
2530,Optus and Defence C1 ,Optus and Defence C1,Australia,Australia,"['Australian Ministry of Defense', 'Optus Communications (Parent: Singapore Telecom)']","['Commercial', 'Military']",Communications,[],GEO,,156.06,35773.0,35799.0,0.0003083784040231,0.02,1436.08,4800.0,2000.0,10600.0,2003-06-12 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5G,2003-028B,27831,"50% owned by Defence Ministry; largest hybrid communications and military satellite launched to date; 24 Ku-band, coverage for Australia, New Zealand and East Asia; commercial services in Ku-band (24), military (8) in X-, UHF- and Ka-bands.","['12_08', 'JM']","http://nssdc.gsfc.nasa/gov/spacewarn/sp596.html  http://ww.woptus.com.au/Vign/ViewMgmt/display/0,627,1031_32948-3_31346--View_303,00.html http://www.loral.com/inthenews/030611.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html"
2531,Optus D1 ,Optus D1,Australia,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,[],GEO,,160.06,35774.0,35797.0,0.0002727995160773,0.02,1436.08,2300.0,,4800.0,2006-10-13 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2006-043B,29495,24 Ku-band transponders; voice and video for Australia and New Zealand; will replace Optus B1.,"['12_08', 'JM']",http://www.orbital.com/SatellitesSpace/GEO/Optus/index.html  http://www.orbital.com/NewsInfo/Publications/Optus_Fact.pdf http://www.lib.cas.cz/www/space.40/2006/043B.HTM https://www.orbitalatk.com/space-systems/science-national-security-satellites/national-security-systems/docs/GEOStar2_Fact_Sheet.pdf
2532,Optus D2,Optus D2,Australia,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,[],GEO,,152.05,35774.0,35799.0,0.000296514179308,0.03,1436.1,2400.0,,3800.0,2007-10-05 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2007-044A,32252,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,"['12_08', 'JM']",http/nssdc.gsfc.nasa.gov/spacewarn/spx648.html  http://www.lib.cas.cz/space.40/2007/044B.HTM  https://www.orbitalatk.com/space-systems/science-national-security-satellites/national-security-systems/docs/GEOStar2_Fact_Sheet.pdf
2533,Optus D3,Optus D3,Australia,Australia,Optus Communications (Parent: Singapore Telecom),Commercial,Communications,[],GEO,,155.98,35775.0,35795.0,0.0002372197841299,0.04,1436.04,2501.0,,5000.0,2009-08-21 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2009-044B,35756,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,"['10_09', 'JM']",http://www.orbital.com/NewsInfo/Publications/OptusD3_Fact.pdf  http://www.itwire.com/content/view/27156/1231/  https://www.orbitalatk.com/space-systems/science-national-security-satellites/national-security-systems/docs/GEOStar2_Fact_Sheet.pdf
2534,ORBCOMM FM-10 (ORBCOMM A2),ORBCOMM FM-10,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,770.0,776.0,0.0004199916001679,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084B,25113,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2535,ORBCOMM FM-11 (ORBCOMM A3),ORBCOMM FM-11,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,769.0,777.0,0.0005599888002239,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084C,25114,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2536,ORBCOMM FM-12 (ORBCOMM A4),ORBCOMM FM-12,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,770.0,776.0,0.0004199916001679,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084D,25115,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2537,ORBCOMM FM-13 (ORBCOMM B1),ORBCOMM FM-13,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046H,25420,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2538,ORBCOMM FM-14 (ORBCOMM B2),ORBCOMM FM-14,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,789.0,794.0,0.0003490888780283,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046G,25419,[],"['12', 'www.satellitedebris.net 12']",www://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2539,ORBCOMM FM-15 (ORBCOMM B3),ORBCOMM FM-15,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046F,25418,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2540,ORBCOMM FM-18 (ORBCOMM B6),ORBCOMM FM-18,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,787.0,796.0,0.000628359980451,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046B,25414,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2541,ORBCOMM FM-19 (ORBCOMM B7),ORBCOMM FM-19,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2542,ORBCOMM FM-20 (ORBCOMM B8),ORBCOMM FM-20,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,791.0,792.0,6.981777560566921,45.0,100.7,45.0,22.0,160.0,1998-08-02 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046D,25416,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx538.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2543,ORBCOMM FM-21 (ORBCOMM C1),ORBCOMM FM-21,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,810.0,822.0,0.0008349568605622,45.0,101.21,45.0,22.0,160.0,1998-09-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053A,25475,[],JMSatcat803,http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2544,ORBCOMM FM-23 (ORBCOMM C3),ORBCOMM FM-23,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,794.0,0.0004189359028068,45.0,100.7,45.0,22.0,160.0,1998-09-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053C,25477,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2545,ORBCOMM FM-27 (ORBCOMM C7),ORBCOMM FM-27,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,790.0,792.0,0.0001396453009356,45.0,100.7,45.0,22.0,160.0,1998-09-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053G,25481,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx539.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2546,ORBCOMM FM-30 (ORBCOMM D2),ORBCOMM FM-30,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,796.0,0.0005585032113934,45.0,100.7,45.0,22.0,160.0,1999-12-04 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065A,25980,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2547,ORBCOMM FM-31 (ORBCOMM D3),ORBCOMM FM-31,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1999-12-04 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065B,25981,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com
2548,ORBCOMM FM-32 (ORBCOMM D4),ORBCOMM FM-32,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,786.0,796.0,0.0006982265046781,45.0,100.7,45.0,22.0,160.0,1999-12-04 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065C,25982,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com
2549,ORBCOMM FM-35 (ORBCOMM D7),ORBCOMM FM-35,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1999-12-04 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065F,25985,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2550,ORBCOMM FM-36 (ORBCOMM D8),ORBCOMM FM-36,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,788.0,795.0,0.0004887244292396,45.0,100.7,45.0,22.0,160.0,1999-12-04 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065E,25984,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2551,ORBCOMM FM-4 (ORBCOMM G2),ORBCOMM FM-4,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Polar,0.0,768.0,838.0,0.0048794088944653,108.0,100.9,45.0,22.0,160.0,1998-02-10 00:00:00,5.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1998-007C,25159,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx532.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2552,ORBCOMM FM-5 (ORBCOMM A6),ORBCOMM FM-5,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,772.0,774.0,0.0001399972000559,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084F,25117,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2553,ORBCOMM FM-6 (ORBCOMM A7),ORBCOMM FM-6,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,772.0,774.0,0.0001399972000559,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084G,25118,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2554,ORBCOMM FM-7 (ORBCOMM A8),ORBCOMM FM-7,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,771.0,774.0,0.000210010500525,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084H,25119,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2555,ORBCOMM FM-8 (ORBCOMM A1),ORBCOMM FM-8,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,768.0,778.0,0.0006999860002799,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084A,25112,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2556,ORBCOMM FM-9 (ORBCOMM A5),ORBCOMM FM-9,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,769.0,777.0,0.0005599888002239,45.0,100.3,45.0,22.0,160.0,1997-12-23 00:00:00,5.0,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084E,25116,[],"['12', 'www.satellitedebris.net 12']",http://www.orbcomm.com  http://nssdc.gsfc.nasa.gov/spacewarn/spx530.html http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html
2557,ORBCOMM OG2 FM-103,ORBCOMM FM-103,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,620.0,741.0,0.0085809517055527,47.0,98.36,172.0,,400.0,2014-07-14 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2014-040F,40091,Next generation of Orbcomm satellites.,ZARYA,http://www.orbcomm.com/networks/og2-launch  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.nasaspaceflight.com/2014/07/spacex-falcon-9-v1-1-orbcomm-og2-mission/
2558,ORBCOMM OG2 FM-107,ORBCOMM FM-107,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,620.0,739.0,0.0084403149159514,47.0,98.34,172.0,,400.0,2014-07-14 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2014-040B,40087,[],ZARYA,http://www.orbcomm.com/networks/og2-launch  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.nasaspaceflight.com/2014/07/spacex-falcon-9-v1-1-orbcomm-og2-mission/
2559,ORBCOMM OG2 FM-108,ORBCOMM FM-108,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,657.0,0.0030690172007708,47.0,97.42,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081J,41187,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2560,ORBCOMM OG2 FM-109,ORBCOMM FM-109,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,620.0,739.0,0.0084403149159514,47.0,98.34,172.0,,400.0,2014-07-14 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2014-040A,40086,[],ZARYA,http://www.orbcomm.com/networks/og2-launch  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.nasaspaceflight.com/2014/07/spacex-falcon-9-v1-1-orbcomm-og2-mission/
2561,ORBCOMM OG2 FM-110,ORBCOMM FM-110,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,615.0,658.0,0.0030685791764789,47.0,97.44,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081D,41182,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2562,ORBCOMM OG2 FM-112,ORBCOMM FM-112,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,657.0,0.0030690172007708,47.0,97.43,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081F,41184,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2563,ORBCOMM OG2 FM-113,ORBCOMM FM-113,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,656.0,0.0029978586723768,47.0,97.41,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081G,41185,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2564,ORBCOMM OG2 FM-114,ORBCOMM FM-114,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,658.0,0.0031401655723665,47.0,97.43,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081A,41179,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2565,ORBCOMM OG2 FM-115,ORBCOMM FM-115,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,613.0,655.0,0.0029982866933181,47.0,97.39,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081H,41186,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2566,ORBCOMM OG2 FM-116,ORBCOMM FM-116,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,654.0,0.0028555111364934,47.0,97.4,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081L,41189,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2567,ORBCOMM OG2 FM-117,ORBCOMM FM-117,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,614.0,656.0,0.0029978586723768,47.0,97.42,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081K,41188,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2568,ORBCOMM OG2 FM-118,ORBCOMM FM-118,USA,USA,ORBCOMM Inc.,Commercial,Communications,[],LEO,Non-Polar Inclined,0.0,615.0,658.0,0.0030685791764789,47.0,97.44,172.0,,400.0,2015-12-22 00:00:00,5.0,"['Boeing Corp.', 'Sierra Nevada Corp.']",USA,Cape Canaveral,Falcon 9,2015-081E,41183,[],prehled-druzic,http://spaceflightnow.com/2015/12/22/round-trip-rocket-flight-gives-spacex-a-trifecta-of-successes/  http://prehled-druzic.blogspot.com/2015/12/2015-081.html
2605,Pléiades HR1A,Pléiades HR1A ,France,"['France', 'Italy']","[""Centre National d'Etudes Spatiales (CNES) - cooperation with Austria, Belgium, Spain, Sweden"", 'Ministry of Defense']",Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,697.0,699.0,0.0001414827391058,98.2,98.7,1000.0,,1500.0,2011-12-17 00:00:00,5.0,Astrium,France,Guiana Space Center,"['Fregat', 'Soyuz-2']",2011-076F,38012,Both government and military.,"['12', 'www.satellitedebris.net 12']",http://smsc.cnes.fr/PLEIADES/GP_mission.htm  http://www.lib.cas.cz/space.40/2011/I076F.HTM
2618,Proba 1 (Project for On-Board Autonomy),Proba 1,ESA,ESA,European Space Agency (ESA),Government,Technology Demonstration,[],LEO,Sun-Synchronous,0.0,553.0,676.0,0.0088052115398382,97.9,96.98,100.0,,100.0,2001-10-22 00:00:00,2.0,Verhaert Design and Development NV (leading a European consortium),Belgium,Satish Dhawan Space Centre,PSLV C3,2001-049B,26958,"First a technology demonstration, then extended for one year for remote sensing; looks like a washing machine.",JMSatcat304,http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html http://www.esa.int/SPECIALS/Proba_web_site/ESAQ9KTHN6D_0.html
2619,Proba 2 (Project for On-Board Autonomy),Proba 2,ESA,ESA,European Space Agency (ESA),Government,Technology Demonstration,[],LEO,Sun-Synchronous,0.0,708.0,728.0,0.0014108352144469,98.3,99.2,130.0,,86.0,2009-11-02 00:00:00,2.0,Verhaert Design and Development NV (leading a European consortium),Belgium,Plesetsk Cosmodrome,Breeze KM,2009-059B,36037,Technology demonstration of 17 advanced satellite technologies; will perform 4 experiments.,"['12', 'www.satellitedebris.net 12']",http://www.esa.int/esaMI/Proba/index.html   http://www.lib.cas.cz/space.40/2009/059B.HTM
