,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
1033,GSAT-12,GSAT-12,India,India,Indian Space Research Organization (ISRO),Government,Communications,[],GEO,,82.94,35761.0,35811.0,0.0005930353923522,0.09,1436.1,1410.0,559.0,1430.0,2011-07-15 00:00:00,8.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C17,2011-034A,37746,C-band expansion at this location. Designed for quick turn-around deployment.,"['11', 'SC - ASCR 9']",http://www.isro.org/satellites/gsat-12.aspx  http://www.planet4589.org/space/log/geo.log http://www.lib.cas.cz/space.40/2011/034A.HTM
1043,GSAT-31,GSAT-31,India,India,Indian Space Research Organization (ISRO),Government,Communications,[],GEO,,48.0,35774.0,35799.0,0.000296514179308,0.1,1436.1,2536.0,,4700.0,2019-02-05 00:00:00,15.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2019-007B,44035,Ku-band services to India and neighboring islands and oceans.,Estimated,https://spaceflightnow.com/2019/02/05/arianespace-opens-busy-2019-manifest-with-dual-satellite-ariane-5-launch/  https://www.isro.gov.in/gsat-31/launch-kit
1044,GSAT-6 (Insat 4-E),GSAT-6,NR,India,Indian Space Research Organization (ISRO),"['Commercial', 'Government']",Communications,[],GEO,,83.0,35775.0,35775.0,0.0,0.0,1436.1,2110.0,980.0,3100.0,2015-08-27 00:00:00,12.0,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV,2015-041A,40880,[],Estimated,http://www.isro.gov.in/update/27-aug-2015/gslv-successfully-launches-india%E2%80%99s-latest-communication-satellite-gsat-6  http://www.thehindu.com/news/cities/bangalore/mired-in-row-gsat6-finally-goes-up-in-space/article7603981.ece http://www.nasaspaceflight.com/2015/08/indian-gslv-launch-gsat-6/
1047,GSAT-8,GSAT-8,India,India,Indian Space Research Organization (ISRO),Government,"['Communications', 'Navigation']",[],GEO,,55.0,35782.0,35796.0,0.0001660380938826,0.09,1436.23,3093.0,1426.0,6250.0,2011-05-20 00:00:00,12.0,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5,2011-022A,37605,Direct-to-home broadcast  and other domestic needs. Equipped with GAGAN (GPS Aided GEO Augmented Navigation).,"['11', 'SC - ASCR 9']",http://articles.timesofindia.indiatimes.com/2011-05-21/india/29568098_1_gsat-8-communication-satellite-indian-national-satellite-system  http://www.lib.cas.cz/space.40/2011/022A.HTM http://www.planet4589.org/space/log/geo.log http://ibnlive.in.com/news/gsat8-launched-to-boost-dth-services/153058-11.html http://www.isro.org/satellites/geostationary.aspx
1093,Helios 2A ,Helios 2A,NR,"['Belgium', 'France', 'Greece', 'Italy', 'Spain']","[""Centre National d'Etudes Spatiales (CNES)"", ""Délégation Générale de l'Armement (DGA)""]",Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,681.0,683.0,0.0001418037436188,98.1,98.0,4200.0,1500.0,2900.0,2004-12-18 00:00:00,5.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5G,2004-049A,28492,Optical reconnaissance; independent military intelligence capability for the EU (France has financed 90% of the B series).,SC - ASCR,http://www.yenra.com/satellite-imaging/  http://www.forum-europe.com/NDA/index.html?http://www.forum-europe.com/NDA/news_detail.asp?ID=319&block=true&frame=yes~main http://nssdc.gsfc.nasa.gov/spacewarn/spx614.html http://www.cnn.com/2004/TECH/space/12/18/french.satellite.ap/ http://www.space.com/missionlaunches/ariane5_helios_launch_041218.html http://perso.wanadoo.fr/eurospace/espdatabase/index.html
1094,Helios 2B,Helios 2B,France,"['Belgium', 'France', 'Greece', 'Italy', 'Spain']","[""Centre National d'Etudes Spatiales (CNES)"", ""Délégation Générale de l'Armement (DGA)""]",Military,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,679.0,682.0,0.0002127508687327,98.1,98.37,4200.0,1500.0,2900.0,2009-12-18 00:00:00,5.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5,2009-073A,36124,"Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).",SC - ASCR,http://www.france24.com/en/20091218-france-lauches-spy-satellite-helios-2b-kourou-guiana-military-space-intelligence  http://www.space-travel.com/reports/Ariane_5_Getting_Ready_To_Launch_Helios_2B_Reconn_Satellite_999.html http://www.lib.cas.cz/space.40/2009/073A.HTM http://www.defense-aerospace.com/article-view/release/110499/france-to-launch-helios-2b-spy-satellite.html
1095,"Hellas-Sat 2 (Intelsat K-TV, NSS K-TV)",HellasSat-2,Greece,Greece,Hellas-Sat Consortium Ltd.,Commercial,Communications,[],GEO,,39.06,35769.0,35803.0,0.0004032640667995,0.01,1436.08,3300.0,,7600.0,2003-05-12 00:00:00,15.0,Astrium,"['France', 'Germany', 'UK']",Cape Canaveral,Atlas 5,2003-020A,27811,30 Ku-band; television broadcasting services for the 2004 Summer Olympic Games in Athens.,"['12_08', 'JM']",http://www.hellas-sat.net/  http://nssdc.gsfc.nasa.gov/spacewarn/spx595.html http://www.spaceandtech.com/digest/flash2002/flash2002-069.shtml http://www.spaceflightnow.com/atlas/av002/030512hellassat.html
1103,Himawari 8,Himawari 8,Japan,Japan,"['Japan Meteorological Agency', 'Meteorological Satellite Center (MSC)']",Government,Earth Observation,Meteorology,GEO,,140.0,35774.0,35797.0,0.0002727995160773,0.08,1436.06,3500.0,1300.0,2600.0,2014-10-07 00:00:00,8.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2014-060A,40267,Equipped with highly improved Advanced Himawari Imagers (AHIs).,ZARYA,http://www.zarya.info/Diaries/Launches/Launches.php?year=2014  http://www.jma.go.jp/jma/jma-eng/satellite/news/himawari89/himawari89_leaflet.pdf
1104,Himawari 9,Himawari 9,Japan,Japan,"['Japan Meteorological Agency', 'Meteorological Satellite Center (MSC)']",Government,Earth Observation,Meteorology,GEO,,140.0,35788.0,35799.0,0.0001304445788418,0.0,1436.1,3500.0,1300.0,2600.0,2016-11-02 00:00:00,8.0,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,2016-064A,41836,Equipped with highly improved Advanced Himawari Imagers (AHIs).,"['12_16', 'JM']",https://spaceflightnow.com/2016/11/02/japanese-weather-observatory-successfully-boosted-into-orbit/  https://www.nasaspaceflight.com/2016/11/japanese-h-iia-rocket-himawari-9-launch/
1105,Hinode (Solar B),Hinode,Japan,Multinational,"['Institute of Space and Aeronautical Science', 'NASA']",Government,Space Science,[],LEO,Sun-Synchronous,0.0,670.0,696.0,0.001843187296186,98.1,98.4,700.0,530.0,1000.0,2006-10-22 00:00:00,3.0,"['Institute of Space and Aeronautical Science, University of Tokyo', 'NASA']","['Germany', 'Japan', 'UK']",Uchinoura Space Center,JAXA M-V,2006-041A,29479,[],"['12', 'www.satellitedebris.net 12']",http://solarb.msfc.nasa.gov/  http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=2006-041A http://www.lib.cas.cz/www/space.40/2006/041A.HTM
1106,"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Hisaki,Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,[],Elliptical,,0.0,952.0,1155.0,0.0136727958510136,31.0,106.27,348.0,,900.0,2013-09-14 00:00:00,1.0,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2013-049A,39253,Carries extreme ultraviolet telescope to observe the planets and measure their interaction with plasma generated by Jupiters moon Io and investigate the mechanism of how the atmosphere of the terrestrial planets escapes into space.,ZARYA,http://www.shi.co.jp/english/info/2013/6kgpsq0000001k40.html  http://www.jaxa.jp/projects/sat/sprint_a/index_e.html http://www.zarya.info/Diaries/Launches/Launches.php?year=2013
1108,Hispasat 1D ,Hispasat 1D,Spain,Spain,Hispasat,"['Commercial', 'Government', 'Military']",Communications,[],GEO,,29.95,35764.0,35809.0,0.0005337255227544,0.02,1436.11,3288.0,1382.0,6200.0,2002-09-18 00:00:00,15.0,Alcatel Space Industries,France,Cape Canaveral,Atlas 2AS,2002-044A,27528,"Fourth of Spain's communications satellites with government, commercial and military application; X-band heavily used; 28 Ku-band transponders.","['12_08', 'JM']",http://www.hispasat.com/portugues/FlotaSat/satHisp1D_plat.htm
1109,Hispasat 1E,Hispasat 1E,NR,Spain,Hispasat,Commercial,Communications,[],GEO,,30.0,35782.0,35786.0,4.744508231721782,0.07,1435.95,5320.0,2175.0,14000.0,2010-12-29 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5,2010-070A,37264,63 Ku-band transponders and a Ka-band capability.,SC - ASCR,http://www.hispasat.com/Detail.aspx?sectionsId=213&lang=en  http://www.asdnews.com/news/32663/HISPASAT_1E_satellite_Successfully_Performs_Post-Launch_Maneuvers.htm  http://www.lib.cas.cz/space.40/2010/070A.HTM
